candidate_id,rank,score,reasoning
CAND_0055992,20,0.717,"16.9 years of experience as a AI Engineer. strong relevance in FAISS, Embeddings, Fine-tuning LLMs. high recruiter response rate (72%). actively open to opportunities. Experience exceeds the preferred range but remains highly relevant."
CAND_0089552,21,0.703,"6.0 years of experience as a Machine Learning Engineer. strong relevance in Fine-tuning LLMs, Milvus."
CAND_0044883,22,0.699,"6.3 years of experience as a AI Engineer. strong relevance in Embeddings, Fine-tuning LLMs. high recruiter response rate (84%)."
CAND_0008425,23,0.698,"7.8 years of experience as a Senior NLP Engineer. strong relevance in NLP, Python, LoRA. high recruiter response rate (66%). actively open to opportunities."
CAND_0083005,24,0.697,"5.4 years of experience as a Mechanical Engineer. strong relevance in Recommendation Systems, Embeddings, Pinecone. high recruiter response rate (69%). actively open to opportunities."
CAND_0075318,25,0.696,"9.0 years of experience as a Operations Manager. strong relevance in FAISS, Pinecone, Fine-tuning LLMs. high recruiter response rate (61%)."
CAND_0074533,26,0.684,"5.5 years of experience as a Mechanical Engineer. strong relevance in Pinecone, Fine-tuning LLMs, FAISS."
CAND_0035195,27,0.68,"5.9 years of experience as a Business Analyst. strong relevance in Embeddings, Pinecone, Recommendation Systems. high recruiter response rate (53%)."
CAND_0033577,28,0.678,"4.2 years of experience as a Mechanical Engineer. strong relevance in Recommendation Systems, FAISS, Embeddings."
CAND_0013229,29,0.672,"5.5 years of experience as a Mechanical Engineer. strong relevance in Fine-tuning LLMs, Pinecone, Embeddings. high recruiter response rate (77%)."
CAND_0058983,30,0.672,"6.4 years of experience as a Project Manager. strong relevance in FAISS, Pinecone, Recommendation Systems. actively open to opportunities."
CAND_0018202,31,0.668,"6.6 years of experience as a Civil Engineer. strong relevance in Fine-tuning LLMs, Embeddings, FAISS. actively open to opportunities."
CAND_0066599,32,0.666,"4.3 years of experience as a Mechanical Engineer. strong relevance in Fine-tuning LLMs, Embeddings, Pinecone. actively open to opportunities."
CAND_0093547,33,0.663,"2.9 years of experience as a Senior Machine Learning Engineer. strong relevance in Python, Milvus, FAISS. high recruiter response rate (75%)."
CAND_0044855,34,0.661,"6.6 years of experience as a Senior Data Scientist. strong relevance in Pinecone, NLP, Embeddings. high recruiter response rate (57%)."
CAND_0085263,35,0.659,"6.0 years of experience as a Civil Engineer. strong relevance in Recommendation Systems, Fine-tuning LLMs, Embeddings. actively open to opportunities."
CAND_0061985,36,0.658,"6.4 years of experience as a Operations Manager. strong relevance in Fine-tuning LLMs, Pinecone, Embeddings. high recruiter response rate (55%)."
CAND_0070398,37,0.658,"7.2 years of experience as a Machine Learning Engineer. strong relevance in FAISS, Embeddings, LoRA. high recruiter response rate (60%). actively open to opportunities."
CAND_0071974,38,0.658,"7.8 years of experience as a Senior AI Engineer. strong relevance in LoRA, Pinecone, Embeddings. high recruiter response rate (76%). actively open to opportunities."
CAND_0041568,39,0.657,"5.2 years of experience as a Search Engineer. strong relevance in Recommendation Systems, Pinecone. high recruiter response rate (52%). actively open to opportunities."
CAND_0082184,40,0.657,"8.3 years of experience as a Operations Manager. strong relevance in Recommendation Systems, FAISS, Pinecone. high recruiter response rate (56%). actively open to opportunities."
CAND_0075249,41,0.655,"6.2 years of experience as a Applied ML Engineer. strong relevance in Milvus, Fine-tuning LLMs, Pinecone. high recruiter response rate (82%). actively open to opportunities."
CAND_0044222,42,0.654,"7.7 years of experience as a AI Engineer. strong relevance in NLP, Fine-tuning LLMs. high recruiter response rate (60%). actively open to opportunities."
CAND_0005649,43,0.653,"7.4 years of experience as a Senior Data Scientist. strong relevance in Fine-tuning LLMs, Recommendation Systems. high recruiter response rate (57%). actively open to opportunities."
CAND_0029552,44,0.653,"10.5 years of experience as a Civil Engineer. strong relevance in Pinecone, Recommendation Systems, Embeddings. high recruiter response rate (54%). actively open to opportunities. Experience exceeds the preferred range but remains highly relevant."
CAND_0044733,45,0.652,"7.6 years of experience as a Graphic Designer. strong relevance in FAISS, Recommendation Systems, Pinecone."
CAND_0085289,46,0.652,"7.2 years of experience as a Mechanical Engineer. strong relevance in Recommendation Systems, FAISS, Pinecone."
CAND_0005147,47,0.651,"8.5 years of experience as a Mechanical Engineer. strong relevance in FAISS, Pinecone, Recommendation Systems. high recruiter response rate (76%)."
CAND_0078258,48,0.648,"4.8 years of experience as a Civil Engineer. strong relevance in Pinecone, Embeddings, Fine-tuning LLMs. actively open to opportunities."
CAND_0026331,49,0.647,"6.7 years of experience as a Civil Engineer. strong relevance in FAISS, Pinecone, Recommendation Systems. actively open to opportunities."
CAND_0052141,50,0.647,"7.1 years of experience as a Project Manager. strong relevance in Embeddings, FAISS, Pinecone. high recruiter response rate (67%)."
CAND_0066276,51,0.647,"9.2 years of experience as a Civil Engineer. strong relevance in FAISS, Embeddings, Pinecone. actively open to opportunities."
CAND_0083432,52,0.645,"8.0 years of experience as a Mechanical Engineer. strong relevance in Embeddings, Pinecone, Fine-tuning LLMs."
CAND_0020524,53,0.643,"8.4 years of experience as a Civil Engineer. strong relevance in Recommendation Systems, FAISS, Embeddings. high recruiter response rate (65%). actively open to opportunities."
CAND_0007411,54,0.641,"8.0 years of experience as a Senior Machine Learning Engineer. strong relevance in Fine-tuning LLMs, Pinecone."
CAND_0079387,55,0.641,"6.9 years of experience as a AI Engineer. strong relevance in Recommendation Systems, Python, LoRA. high recruiter response rate (81%). actively open to opportunities."
CAND_0035530,56,0.64,"10.8 years of experience as a Civil Engineer. strong relevance in Recommendation Systems, Embeddings, FAISS. Experience exceeds the preferred range but remains highly relevant."
CAND_0051292,57,0.64,"5.2 years of experience as a Applied ML Engineer. strong relevance in FAISS, Fine-tuning LLMs, NLP. high recruiter response rate (52%). actively open to opportunities."
CAND_0068918,58,0.639,"4.7 years of experience as a Mechanical Engineer. strong relevance in Fine-tuning LLMs, Embeddings, Pinecone."
CAND_0088025,59,0.639,"8.6 years of experience as a Staff Machine Learning Engineer. strong relevance in Pinecone, LoRA, Python. high recruiter response rate (83%). actively open to opportunities."
CAND_0014494,60,0.637,"7.1 years of experience as a Graphic Designer. strong relevance in Pinecone, FAISS, Embeddings."
CAND_0080766,61,0.637,"8.8 years of experience as a Staff Machine Learning Engineer. strong relevance in LoRA, Python, Milvus. high recruiter response rate (66%)."
CAND_0017132,62,0.636,"7.0 years of experience as a Mechanical Engineer. strong relevance in Recommendation Systems, Embeddings, Fine-tuning LLMs."
CAND_0039581,63,0.636,"8.4 years of experience as a Graphic Designer. strong relevance in FAISS, Fine-tuning LLMs, Embeddings. actively open to opportunities."
CAND_0040887,64,0.636,"4.7 years of experience as a Machine Learning Engineer. strong relevance in FAISS, LoRA, Python. high recruiter response rate (84%). actively open to opportunities."
CAND_0022801,65,0.635,"7.2 years of experience as a Civil Engineer. strong relevance in FAISS, Pinecone, Embeddings. high recruiter response rate (65%)."
CAND_0065195,66,0.635,5.1 years of experience as a Search Engineer. high recruiter response rate (80%). actively open to opportunities.
CAND_0001537,67,0.634,"6.3 years of experience as a Project Manager. strong relevance in Embeddings, Fine-tuning LLMs, FAISS. high recruiter response rate (67%). actively open to opportunities."
CAND_0020877,68,0.634,5.1 years of experience as a Applied ML Engineer. strong relevance in Milvus. high recruiter response rate (66%).
CAND_0065176,69,0.634,"4.0 years of experience as a Mechanical Engineer. strong relevance in Pinecone, FAISS, Recommendation Systems. high recruiter response rate (68%)."
CAND_0016317,70,0.633,"6.5 years of experience as a Project Manager. strong relevance in FAISS, Recommendation Systems, Pinecone. high recruiter response rate (75%). actively open to opportunities."
CAND_0036891,71,0.633,"9.4 years of experience as a Civil Engineer. strong relevance in Pinecone, FAISS, Embeddings. high recruiter response rate (65%). actively open to opportunities."
CAND_0056130,72,0.633,"8.9 years of experience as a Operations Manager. strong relevance in Recommendation Systems, FAISS, Embeddings. actively open to opportunities."
CAND_0058019,73,0.633,"9.6 years of experience as a Mechanical Engineer. strong relevance in Embeddings, FAISS, Recommendation Systems. high recruiter response rate (65%)."
CAND_0094686,74,0.633,"6.7 years of experience as a Business Analyst. strong relevance in Pinecone, Recommendation Systems, Fine-tuning LLMs. high recruiter response rate (75%)."
CAND_0053591,75,0.632,"5.3 years of experience as a AI Engineer. strong relevance in Embeddings, Milvus. high recruiter response rate (81%). actively open to opportunities."
CAND_0062247,76,0.631,7.3 years of experience as a AI Engineer. strong relevance in Pinecone. high recruiter response rate (78%). actively open to opportunities.
CAND_0079064,77,0.63,"5.2 years of experience as a Senior Data Scientist. strong relevance in NLP, Fine-tuning LLMs, Pinecone. high recruiter response rate (91%). actively open to opportunities."
CAND_0003676,78,0.629,"13.8 years of experience as a Mechanical Engineer. strong relevance in Recommendation Systems, Embeddings, Pinecone. high recruiter response rate (62%). Experience exceeds the preferred range but remains highly relevant."
CAND_0023092,79,0.629,"6.3 years of experience as a Mechanical Engineer. strong relevance in Recommendation Systems, Embeddings, Fine-tuning LLMs. high recruiter response rate (52%)."
CAND_0050151,80,0.629,"7.8 years of experience as a Civil Engineer. strong relevance in Recommendation Systems, Pinecone, Fine-tuning LLMs. high recruiter response rate (63%)."
CAND_0026424,81,0.628,"5.6 years of experience as a Senior Software Engineer (ML). strong relevance in LoRA, Pinecone, Embeddings. actively open to opportunities."
CAND_0053258,82,0.628,"1.6 years of experience as a Operations Manager. strong relevance in FAISS, Fine-tuning LLMs, Embeddings. high recruiter response rate (74%). actively open to opportunities."
CAND_0029474,83,0.627,"5.3 years of experience as a Civil Engineer. strong relevance in Fine-tuning LLMs, Embeddings, Recommendation Systems. actively open to opportunities."
CAND_0031598,84,0.627,"7.3 years of experience as a Graphic Designer. strong relevance in Recommendation Systems, Embeddings, FAISS. high recruiter response rate (70%). actively open to opportunities."
CAND_0073765,85,0.626,"1.9 years of experience as a Mechanical Engineer. strong relevance in Embeddings, FAISS, Pinecone. actively open to opportunities."
CAND_0029367,86,0.625,"5.7 years of experience as a Senior Data Scientist. strong relevance in FAISS, NLP, Pinecone. high recruiter response rate (77%). actively open to opportunities."
CAND_0054256,87,0.625,"6.3 years of experience as a Mechanical Engineer. strong relevance in Embeddings, FAISS, Recommendation Systems."
CAND_0089405,88,0.625,"9.9 years of experience as a Civil Engineer. strong relevance in Embeddings, Recommendation Systems, FAISS. high recruiter response rate (52%)."
CAND_0085901,89,0.623,"7.7 years of experience as a Civil Engineer. strong relevance in Recommendation Systems, Embeddings, Pinecone. high recruiter response rate (63%). actively open to opportunities."
CAND_0092033,90,0.623,"5.2 years of experience as a Operations Manager. strong relevance in Embeddings, Recommendation Systems, FAISS."
CAND_0052982,91,0.622,"6.3 years of experience as a Civil Engineer. strong relevance in Embeddings, Pinecone, Recommendation Systems."
CAND_0000932,92,0.621,"6.9 years of experience as a Operations Manager. strong relevance in Pinecone, Embeddings, Fine-tuning LLMs. high recruiter response rate (72%)."
CAND_0050679,93,0.621,"2.3 years of experience as a Civil Engineer. strong relevance in Recommendation Systems, Pinecone, Embeddings."
CAND_0063835,94,0.621,"6.6 years of experience as a Business Analyst. strong relevance in FAISS, Recommendation Systems, Pinecone. actively open to opportunities."
CAND_0092070,95,0.621,"5.9 years of experience as a Business Analyst. strong relevance in Pinecone, Embeddings, Recommendation Systems. high recruiter response rate (69%). actively open to opportunities."
CAND_0012918,96,0.62,"8.5 years of experience as a Project Manager. strong relevance in FAISS, Pinecone, Fine-tuning LLMs. high recruiter response rate (74%). actively open to opportunities."
CAND_0086963,97,0.619,"11.0 years of experience as a Mechanical Engineer. strong relevance in Embeddings, Fine-tuning LLMs, Pinecone. high recruiter response rate (74%). actively open to opportunities. Experience exceeds the preferred range but remains highly relevant."
CAND_0096126,98,0.619,"4.5 years of experience as a Civil Engineer. strong relevance in Pinecone, Embeddings, Recommendation Systems. high recruiter response rate (75%). actively open to opportunities."
CAND_0028793,99,0.618,"7.2 years of experience as a Search Engineer. strong relevance in Embeddings, LoRA, NLP. high recruiter response rate (57%). actively open to opportunities."
CAND_0090416,100,0.618,"7.1 years of experience as a Project Manager. strong relevance in Recommendation Systems, Embeddings, Fine-tuning LLMs."
